"household_income","deposit","mortgage","interestRate","monthlyCost"
"912199","62501402","66597176","4.85","19345"
"118328","53750259","54281552","4.85","2509"
"20000","80000","169800","5.69","424"
"891798","1044976","5049149","5.69","18912"
"374855","79333424","81016523","5.69","7949"
"478210","11062154","13209317","5.69","10141"
"66646","21130107","21429348","5.69","1413"
"433295","67517096","69462591","5.69","9189"
"884798","9800677","13773420","5.69","18763"
"440710","69974875","71953663","5.69","9346"
"531270","94191592","96576994","5.69","11266"
"241797","17997141","19082810","5.69","5128"
"280434","40758472","42017621","5.69","5947"
"351258","83075893","84653041","5.69","7449"
"852412","50356413","54183743","5.69","18077"
"578062","33566209","36161707","5.69","12259"
"494237","46744754","48963878","5.69","10481"
"521638","26155321","28497476","5.69","11062"
"249919","66201078","67323214","5.69","5300"
"970082","21966765","26322433","5.69","20572"
"34652","37680022","37835609","5.69","735"
"386242","27372369","29106596","5.69","8191"
"574931","74773629","77355069","5.69","12192"
"21674","94459480","94556796","5.69","460"
"238447","6213057","7283684","5.69","5057"
"10875","11551095","null","5.69","8"
"706447","67270366","70442313","5.69","14981"
"999803","76690886","81180001","5.69","21202"
"672086","39944599","42962265","5.69","14253"
"300983","40572743","41924157","5.69","6383"
"804046","28708877","32319044","5.69","17051"
"73709","59632354","59963307","5.69","1563"
"536516","70565286","72974243","5.69","11378"
"928475","76718158","80887011","5.69","19690"
"395375","49133099","50908333","5.69","8385"
"297202","49589133","50923570","5.69","6303"
"272953","42354069","43579628","5.69","5788"
"147936","63329686","63993919","5.69","3137"
"773461","7641563","11114403","5.69","16402"
"686200","19118716","22199754","5.69","14552"
"118177","34284348","34814963","5.69","2506"
"667453","42881093","45877957","5.69","14154"
"751501","54050442","57424681","5.69","15937"
"516794","81452766","83773171","5.69","10959"
"239634","15820125","16896082","5.69","5082"
"444672","80938151","82934728","5.69","9430"
"256823","62462442","63615577","5.69","5446"
"285012","40158732","41438436","5.69","6044"
"462259","73517327","75592870","5.69","9803"
"598985","13410138","16099581","5.69","12702"
"420193","46568964","48455631","5.69","8911"
"368851","87697432","89353573","5.69","7822"
"63921","32643683","32930688","5.69","1356"
"701006","77857868","81005385","5.69","14866"
"276317","76817666","78058329","5.69","5860"
"407618","28285024","30115229","5.69","8644"
"121911","51871635","52419015","5.69","2585"
"597826","34831362","37515601","5.69","12678"
"470562","39065301","41178124","5.69","9979"
"403824","47125558","48938728","5.69","8564"
"146764","18981499","19640469","5.69","3112"
"188493","43003504","43849838","5.69","3997"
"401337","95676339","97478342","5.69","8511"
"178662","51088791","51890983","5.69","3789"
"22049","32072063","32171063","5.69","468"
"101843","28494779","28952054","5.69","2160"
"861661","36691877","40560735","5.69","18273"
"734066","3983156","7279112","5.69","15567"
"131854","81140988","81733012","5.69","2796"
"476868","18768913","20910050","5.69","10113"
"393278","88558035","90323853","5.69","8340"
"220127","90806844","91795214","5.69","4668"
"174403","51198591","51981660","5.69","3698"
"244814","56777115","57876330","5.69","5192"
"585477","79099974","81728766","5.69","12416"
"654193","17658977","20596304","5.69","13873"
"25120","24998735","25111524","5.69","533"
"394658","7515802","9287816","5.69","8369"
"422567","92291044","94188370","5.69","8961"
"475923","33775670","35912564","5.69","10093"
"98199","70872757","71313671","5.69","2082"
"13231","37516041","37575448","5.69","281"
"255491","5773980","6921135","5.69","5418"
"93156","48790913","49209183","5.69","1976"
"894240","62204619","66219757","5.69","18964"
"125531","67817122","68380756","5.69","2662"
"957580","98888397","103187931","5.69","20307"
"571400","72541803","75107389","5.69","12117"
"64652","88661782","88952069","5.69","1371"
"392052","48617751","50378064","5.69","8314"
"21954","86557667","86656240","5.69","466"
"785349","9854847","13381064","5.69","16654"
"407505","6952412","8782109","5.69","8642"
"676109","24368480","27404209","5.69","14338"
"828208","68116682","71835336","5.69","17563"
"915804","19600327","23712287","5.69","19421"
"792240","36155410","39712568","5.69","16801"
"91946","8445205","8858043","5.69","1950"
"488703","20324048","22518324","5.69","10364"
"329412","55808339","57287399","5.69","6986"
"131790","8283471","8875208","5.69","2795"
"216842","90863501","91837122","5.69","4598"
"188559","72934165","73780795","5.69","3999"
"63459","13168071","13453002","5.69","1346"
"440542","25158244","27136278","5.69","9342"
"63185","36304754","36588455","5.69","1340"
"837765","53831360","57592925","5.69","17766"
"355452","37782896","39378875","5.69","7538"
"691060","75170886","78273745","5.69","14655"
"542501","60246180","62682009","5.69","11505"
"228081","88987636","90011720","5.69","4837"
"269847","38920100","40131713","5.69","5723"
"591886","93862478","96520046","5.69","12552"
"909018","46052794","50134285","5.69","19277"
"753498","65502427","68885633","5.69","15979"
"607415","85926873","88654166","5.69","12881"
"733475","72590654","75883957","5.69","15554"
"821620","19165754","22854828","5.69","17424"
"27195","64416521","64538627","5.69","577"
"239193","88057354","89131331","5.69","5072"
"371813","97644425","99313865","5.69","7885"
"679147","30178963","33228333","5.69","14402"
"282130","39955917","41222681","5.69","5983"
"601684","75458979","78160540","5.69","12760"
"638888","61961604","64830211","5.69","13549"
"240379","8821141","9900443","5.69","5098"
"608799","46458183","49191691","5.69","12910"
"394351","53212051","54982687","5.69","8363"
"649754","13426299","16343694","5.69","13779"
"568575","67060721","69613623","5.69","12057"
"637110","42769837","45630461","5.69","13511"
"559334","62677490","65188900","5.69","11862"
"832578","17230528","20968803","5.69","17656"
"470495","44476312","46588835","5.69","9978"
"617529","23419264","26191969","5.69","13096"
"14886","93582078","93648916","5.69","316"
"544209","46745179","49188677","5.69","11541"
"23302","73953841","74058467","5.69","494"
"96058","36623962","37055262","5.69","2037"
"727877","20969617","24237785","5.69","15436"
"215789","30120361","31089254","5.69","4576"
"526740","56897921","59262984","5.69","11170"
"420632","29762941","31651579","5.69","8920"
"753999","77072471","80457927","5.69","15990"
"700455","177104","3322147","5.69","14854"
"142187","42770693","43409113","5.69","3015"
"886816","73139187","77120991","5.69","18806"
"653571","54206203","57140737","5.69","13860"
"458154","39441427","41498538","5.69","9716"
"97038","85176627","85612328","5.69","2058"
"390555","25600437","27354029","5.69","8282"
"554709","98602539","101093182","5.69","11763"
"418770","23276331","25156608","5.69","8881"
"882369","36540046","40501883","5.69","18712"
"745873","24625790","27974760","5.69","15817"
"144535","39193646","39842608","5.69","3065"
"403339","17709685","19520677","5.69","8553"
"30111","13668802","13804000","5.69","639"
"624769","71058205","73863418","5.69","13249"
"148788","18038345","18706403","5.69","3155"
"960081","4701674","9012438","5.69","20360"
"441428","77340356","79322368","5.69","9361"
"498780","83450211","85689733","5.69","10577"
"299023","11103957","12446570","5.69","6341"
"304132","19851749","21217302","5.69","6450"
"458919","34085189","36145735","5.69","9732"
"997783","36346518","40826564","5.69","21159"
"779955","44505188","48007186","5.69","16540"
"607238","96305410","99031909","5.69","12877"
"291350","14028199","15336361","5.69","6179"
"510369","79396718","81688275","5.69","10823"
"473375","14914801","17040255","5.69","10039"
"55170","4124817","4372530","5.69","1170"
"326939","63616836","65084792","5.69","6933"
"38521","27935649","28108608","5.69","817"
"595906","52957350","55632968","5.69","12637"
"385039","78313877","80042702","5.69","8165"
"876235","96973527","100907822","5.69","18582"
"727352","33558501","36824311","5.69","15425"
"561401","98529560","101050250","5.69","11905"
"392085","99341853","101102315","5.69","8315"
"192032","41337271","42199495","5.69","4072"
"676326","41510439","44547143","5.69","14342"
"258964","30968820","32131568","5.69","5492"
"700980","20899103","24046503","5.69","14865"
"679079","4004720","7053785","5.69","14401"
"652921","59493393","62425008","5.69","13846"
"647055","69705252","72610529","5.69","13722"
"757025","47489456","50888498","5.69","16054"
"381537","43360930","45074031","5.69","8091"
"237973","9096020","10164519","5.69","5047"
"96606","29794948","30228709","5.69","2049"
"134845","30843606","31449060","5.69","2860"
"593937","83426377","86093154","5.69","12595"
"936791","14813056","19019248","5.69","19866"
"703849","62680935","65841217","5.69","14926"
"81623","83855474","84221961","5.69","1731"
"131267","13154546","13743935","5.69","2784"
"674333","35679921","38707676","5.69","14300"
"844551","35356997","39149031","5.69","17910"
"759614","66991626","70402293","5.69","16109"
"47463","80073626","80286735","5.69","1007"
"177699","5865292","6663161","5.69","3768"
"550180","71882322","74352630","5.69","11667"
"670605","59812260","62823276","5.69","14221"
"558965","90752440","93262193","5.69","11854"
"742181","11763912","15096305","5.69","15739"
"227623","41806993","42829020","5.69","4827"
"393291","12701590","14467467","5.69","8340"
"95955","30064022","30494860","5.69","2035"
"462872","85129827","87208122","5.69","9816"
"160157","23253276","23972381","5.69","3396"
"805726","38521265","42138975","5.69","17087"
"983946","90788423","95206341","5.69","20866"
"941533","19058106","23285589","5.69","19967"
"515679","85346018","87661417","5.69","10936"
"177325","91344939","92141128","5.69","3760"
"568426","37721486","40273719","5.69","12054"
"979676","1757217","6155962","5.69","20775"
"104288","44112042","44580295","5.69","2212"
"205373","10740083","11662208","5.69","4355"
"363951","3175838","4809978","5.69","7718"
"971670","83257925","87620723","5.69","20606"
"962379","91470039","95791121","5.69","20409"
"412598","45851538","47704103","5.69","8750"
"705537","15909028","19076889","5.69","14962"
"124693","53484650","54044522","5.69","2644"
"761561","45237838","48657247","5.69","16150"
"681261","57316034","60374896","5.69","14447"
"536916","1171692","3582445","5.69","11386"
"59644","28724923","28992725","5.69","1265"
"502600","15455189","17711863","5.69","10658"
"361816","82434757","84059311","5.69","7673"
"829985","37627789","41354422","5.69","17601"
"587807","15689818","18329071","5.69","12465"
"992174","79002502","83457363","5.69","21041"
"392304","44446524","46207969","5.69","8319"
"104358","52191310","52659877","5.69","2213"
"885678","17015117","20991811","5.69","18782"
"48819","89724333","89943530","5.69","1035"
"667853","19897183","22895843","5.69","14163"
"704925","24384131","27549244","5.69","14949"
"945788","98965526","103212114","5.69","20057"
"450377","49632398","51654591","5.69","9551"
"725046","17685769","20941226","5.69","15376"
"944629","43430564","47671948","5.69","20032"
"879253","62543480","66491326","5.69","18646"
"797541","42964676","46545635","5.69","16913"
"740823","71555243","74881538","5.69","15710"
"684403","82991290","86064259","5.69","14514"
"657794","92949731","95903226","5.69","13949"
"115419","99940812","100459043","5.69","2448"
"915892","2741990","6854345","5.69","19423"
"835220","41247775","44997913","5.69","17712"
"391481","73427474","75185224","5.69","8302"
"185272","27969982","28801853","5.69","3929"
"505462","23480800","25750324","5.69","10719"
"954923","76638063","80925667","5.69","20251"
"222424","34138846","35137530","5.69","4717"
"848356","84184106","87993224","5.69","17991"
"253253","71075393","72212499","5.69","5371"
"636935","82362792","85222630","5.69","13507"
"736666","29217609","32525239","5.69","15622"
"25757","88522153","88637802","5.69","546"
"130986","48201144","48789271","5.69","2778"
"943762","54919796","59157287","5.69","20014"
"172395","13057090","13831144","5.69","3656"
"521816","70300114","72643068","5.69","11066"
"769272","52619081","56073112","5.69","16314"
"608651","290247","3023090","5.69","12907"
"265906","59788017","60981935","5.69","5639"
"225207","81283463","82294642","5.69","4776"
"792884","63885060","67445109","5.69","16814"
"647366","88002685","90909358","5.69","13728"
"702052","65281954","68434167","5.69","14888"
"716247","57351728","60567677","5.69","15189"
"284050","29026606","30301991","5.69","6024"
"259194","82458267","83622048","5.69","5497"
"529661","81082309","83460487","5.69","11232"
"242714","36944323","38034109","5.69","5147"
"900003","85349519","89390532","5.69","19086"
"790820","15731588","19282370","5.69","16771"
"586247","65371606","68003855","5.69","12432"
"119223","66867854","67403165","5.69","2528"
"359272","94000861","95613992","5.69","7619"
"491081","70419908","72624862","5.69","10414"
"822217","57042468","60734222","5.69","17436"
"392264","67728033","69489298","5.69","8319"
"982398","85411054","89822021","5.69","20833"
"730874","32343689","35625313","5.69","15499"
"340722","13250297","14780139","5.69","7226"
"245829","74466669","75570441","5.69","5213"
"898354","77461125","81494734","5.69","19051"
"157305","1793888","2500187","5.69","3336"
"32968","76523721","76671747","5.69","699"
"418078","84300432","86177602","5.69","8866"
"879299","36145857","40093910","5.69","18647"
"374435","88244819","89926032","5.69","7940"
"264112","86387485","87573348","5.69","5601"
"413165","34584556","36439667","5.69","8762"
"708643","33194272","36376079","5.69","15028"
"722823","55748810","58994285","5.69","15329"
"134410","63851099","64454600","5.69","2850"
"332522","48988223","50481247","5.69","7052"
"323579","96310004","97762874","5.69","6862"
"666923","25227008","28221492","5.69","14143"
"842529","41896842","45679797","5.69","17867"
"363155","11256479","12887045","5.69","7701"
